"Third Audience Bot Analytics Export"
Generated,"2026-01-22 09:57:53 UTC"
"Total Records",124
Format,Detailed

ID,"Bot Type","Bot Name","User Agent",URL,"Post Title","Post Type","Request Method","Cache Status","Cache Explanation","Response Time (ms)","Response Size","IP Address",Referer,"Country Code","Visit Time (UTC)"
68,Unknown,"Unknown Bot","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/add-marker-in-google-maps,"Web Tutorial: How to Add Marker in Google Maps Dynamically?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",118,"14.36 KB",52.205.113.104,Direct,US,"2026-01-22 05:53:44"
67,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/best-backend-frameworks,"List of 8 Best Backend Frameworks To Use in Web App Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",29,"21.04 KB",2a03:2880:f802:2f::,Direct,US,"2026-01-22 05:44:32"
66,Unknown,"Unknown Bot","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; +https://openai.com/searchbot",https://www.monocubed.com/blog/top-angularjs-frameworks,"List of 10 Best AngularJS Frameworks to Use For Web Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",29,"14.60 KB",74.7.243.38,https://www.monocubed.com/blog/top-angularjs-frameworks/,US,"2026-01-22 05:43:47"
65,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/ruby-on-rails-vs-nodejs,"Ruby on Rails VS NodeJS - The Ultimate Framework Comparison",post,md_url,MISS,"Generated fresh (first visit or cache expired)",31,"18.48 KB",2a03:2880:f802:33::,Direct,US,"2026-01-22 05:43:01"
64,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/is-web-development-dying,"Is Web Development Dying? [4 Reasons Why It’s Still Evolving]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",19,"14.26 KB",2a03:2880:f802:28::,Direct,US,"2026-01-22 05:41:52"
63,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/what-is-web-3-0,"What is Web 3.0 - The Decentralized Secure Internet",post,md_url,MISS,"Generated fresh (first visit or cache expired)",31,"17.71 KB",2a03:2880:f802:1c::,Direct,US,"2026-01-22 05:39:54"
62,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/features-of-web-portal,"7 Powerful Features of Web Portal You Must Know",post,md_url,MISS,"Generated fresh (first visit or cache expired)",23,"18.97 KB",2a03:2880:f802:21::,Direct,US,"2026-01-22 05:23:24"
61,Unknown,"Unknown Bot","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; +https://openai.com/searchbot",https://www.monocubed.com/blog/advantages-of-vue-js,"What are the Advantages of Vue js Framework in Web Development?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",34,"18.87 KB",74.7.228.171,https://www.monocubed.com/blog/advantages-of-vue-js/,US,"2026-01-22 05:22:28"
59,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/why-vuejs-gaining-popularity,"9 Reasons Why Vue.js Is Best For A Robust Web App Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",32,"15.84 KB",2a03:2880:f802:25::,Direct,US,"2026-01-22 05:14:06"
60,Unknown,"Unknown Bot","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; +https://openai.com/searchbot",https://www.monocubed.com/blog/most-popular-web-frameworks,"List of 10 Best Web Frameworks for Web App Development in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",46,"25.80 KB",74.7.243.38,https://www.monocubed.com/blog/most-popular-web-frameworks/,US,"2026-01-22 05:14:06"
